data,descricao,tipo,valor
2025-01-01,Manutenção - Cliente Horizonte,entrada,1277.44
2025-01-02,Manutenção - Cliente Prisma,entrada,1003.59
2025-01-02,Material de escritório,saida,157.88
2025-01-03,Compra de insumos,saida,571.22
2025-01-03,Marketing digital,saida,648.76
2025-01-06,Aluguel,saida,2839.82
2025-01-06,Consultoria - Cliente Aurora,entrada,1715.29
2025-01-06,Folha de pagamento,saida,5997.56
2025-01-07,Contabilidade,saida,678.21
2025-01-07,Hospedagem e infraestrutura,saida,142.86
2025-01-07,Material de escritório,saida,372.77
2025-01-08,Frete e entregas,saida,216.34
2025-01-08,Transporte,saida,174.01
2025-01-10,Internet,saida,222.04
2025-01-10,Treinamento,saida,331.68
2025-01-13,Consultoria - Cliente Vertex,entrada,2404.81
2025-01-13,Software e ferramentas,saida,491.78
2025-01-15,Consultoria - Cliente Atlas,entrada,3110.61
2025-01-15,Consultoria - Cliente Aurora,entrada,1698.83
2025-01-15,Energia elétrica,saida,397.11
2025-01-15,Frete e entregas,saida,96.61
2025-01-16,Compra de insumos,saida,320.79
2025-01-16,Projeto - Cliente Horizonte,entrada,3428.25
2025-01-17,Manutenção - Cliente Solaris,entrada,956.91
2025-01-20,Impostos sobre faturamento,saida,1170.91
2025-01-20,Manutenção de equipamento,saida,702.67
2025-01-20,Marketing digital,saida,908.71
2025-01-20,Pró-labore,saida,2436.82
2025-01-20,Telefonia,saida,170.92
2025-01-21,Transporte,saida,123.63
2025-01-22,Compra de insumos,saida,373.26
2025-01-24,Serviço terceirizado,saida,1430.23
2025-01-27,Serviço terceirizado,saida,1674.05
2025-01-28,Consultoria - Cliente Horizonte,entrada,1648.23
2025-01-29,Hospedagem e infraestrutura,saida,246.96
2025-01-29,Manutenção - Cliente Atlas,entrada,1172.19
2025-01-29,Manutenção - Cliente Horizonte,entrada,1099.05
2025-01-29,Taxas bancárias,saida,162.13
2025-01-31,Serviço terceirizado,saida,1321.75
2025-02-03,Manutenção - Cliente Atlas,entrada,1281.02
2025-02-03,Manutenção - Cliente Aurora,entrada,1839.23
2025-02-04,Consultoria - Cliente Atlas,entrada,1481.96
